ID,Storage,Lego ID,Description,Condition,Qty,Price,Total Value
9020,"U-BIOA-9",98603pb005,"Large Figure Chest Armor Small with Chi and Olive Green (Crocodile) Pattern",Used,1,0.13,0.13
5882,"U-302-7",53454,"Minifigure, Weapon Axe Head with Clip",Used,1,0.12,0.12
5881,"U-A15-2",53454,"Minifigure, Weapon Axe Head with Clip",Used,1,0.12,0.12
16725,"U-A28-1",23984,"Minifigure, Weapon Sword, Cutlass Serrated with Skull Hand Guard",Used,1,0.12,0.12
5883,"U-B33",53454,"Minifigure, Weapon Axe Head with Clip",Used,1,0.12,0.12
18369,"U-P11",23984,"Minifigure, Weapon Sword, Cutlass Serrated with Skull Hand Guard",Used,1,0.12,0.12
24208,"U-R9",53454,"Minifigure, Weapon Axe Head with Clip",Used,1,0.12,0.12
6126,"U-304-12",54275,"Torso Mechanical, Armor with 4 Pins, Bionicle",Used,1,0.11,0.11
6124,"U-J32",54275,"Torso Mechanical, Armor with 4 Pins, Bionicle",Used,1,0.11,0.11
6125,"U-K1",54275,"Torso Mechanical, Armor with 4 Pins, Bionicle",Used,1,0.11,0.11
6127,"U-K4",54275,"Torso Mechanical, Armor with 4 Pins, Bionicle",Used,1,0.11,0.11
16261,"U-M6-2",973pb1925,"Torso Armor Robot with Blue and Light Bluish Gray Pattern",Used,1,0.11,0.11
11896,"N-C12",69754,"Projectile Launcher, 1 x 2 Mini Blaster / Tile Shooter",New,2,0.05,0.10
7718,"U-BIOB-16",90661,"Hero Factory Foot with Ball Socket",Used,2,0.05,0.10
7726,"U-D2-3",90661,"Hero Factory Foot with Ball Socket",Used,2,0.05,0.10
24697,"U-322",92215,"Hero Factory Weapon Accessory, Machinery Armor",Used,1,0.09,0.09
24836,"U-323",92215,"Hero Factory Weapon Accessory, Machinery Armor",Used,1,0.09,0.09
23163,"U-BIO-AA-14",32528,"Technic, Panel Fairing # 6 Small Short, Large Hole, Side B",Used,1,0.09,0.09
22977,"U-BIO-AA-4",92215,"Hero Factory Weapon Accessory, Machinery Armor",Used,1,0.09,0.09
22985,"U-BIO-AA-4",98563,"Hero Factory Weapon, Zamor Sphere Launcher Top Half with Barrel and Sight",Used,1,0.09,0.09
7734,"U-BIO-E",92206,"Hero Factory Weapon, Claw",Used,1,0.09,0.09
7732,"U-D2-3",92206,"Hero Factory Weapon, Claw",Used,1,0.09,0.09
7733,"U-D2-4",92206,"Hero Factory Weapon, Claw",Used,1,0.09,0.09
8191,"U-D7-7",98563,"Hero Factory Weapon, Zamor Sphere Launcher Top Half with Barrel and Sight",Used,1,0.09,0.09
11954,"U-J16",38799,"Minifigure, Utensil Tea Saucer with Hollow Stud",Used,1,0.09,0.09
10320,"U-L3",23861,"Minifigure, Weapon Blade with Bars and 5 Spikes",Used,1,0.09,0.09
12861,"U-O3",11272,"Technic, Axle Connector 2 x 3 Quadruple",Used,1,0.09,0.09
14577,"U-A11-2",64567,"Minifigure, Weapon Lightsaber Hilt Straight",Used,1,0.08,0.08
12695,"U-A15-1",64567,"Minifigure, Weapon Lightsaber Hilt Straight",Used,1,0.08,0.08
5972,"U-BIO-X10",54271,"Bionicle Zamor Sphere Launcher",Used,1,0.08,0.08
14838,"U-BIOB-10",90650,"Hero Factory Shoulder Armor",Used,1,0.08,0.08
16433,"U-D2-3",90650,"Hero Factory Shoulder Armor",Used,1,0.08,0.08
7731,"U-D2-4",90639pb004,"Hero Factory Armor with Ball Joint Socket - Size 5 with 'EVO 2.0' Pattern",Used,1,0.08,0.08
16436,"U-D2-4",90650,"Hero Factory Shoulder Armor",Used,1,0.08,0.08
7549,"U-304-13",92690,"Bar   1L with Top Stud and 2 Side Studs (Connector Perpendicular)",Used,1,0.07,0.07
7550,"U-304-16",92690,"Bar   1L with Top Stud and 2 Side Studs (Connector Perpendicular)",Used,1,0.07,0.07
25405,"U-309-10",92690,"Bar   1L with Top Stud and 2 Side Studs (Connector Perpendicular)",Used,1,0.07,0.07
